         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.12202e+01 1.58365e+03 7.26400e-06 1.38558e-04 2.98565e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.54147e-26 2.54148e-26 
1.25893e+01 1.68490e+03 8.10597e-06 1.17883e-04 2.77879e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.66601e-26 2.66602e-26 
1.41254e+01 1.79730e+03 9.04065e-06 9.98962e-05 2.59881e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.80159e-26 2.80159e-26 
1.58489e+01 1.92194e+03 1.00790e-05 8.43103e-05 2.44283e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.94934e-26 2.94935e-26 
1.77828e+01 2.05996e+03 1.12332e-05 7.08655e-05 2.30826e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.11034e-26 3.11034e-26 
1.99526e+01 2.21252e+03 1.25169e-05 5.93242e-05 2.19272e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.28551e-26 3.28551e-26 
2.23872e+01 2.38079e+03 1.39448e-05 4.94684e-05 2.09402e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.47561e-26 3.47561e-26 
2.51189e+01 2.56597e+03 1.55333e-05 4.10977e-05 2.01015e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.68113e-26 3.68113e-26 
2.81838e+01 2.76920e+03 1.73006e-05 3.40277e-05 1.93927e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.90226e-26 3.90226e-26 
3.16228e+01 2.99162e+03 1.92661e-05 2.80894e-05 1.87967e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.13885e-26 4.13884e-26 
3.54813e+01 3.23436e+03 2.14513e-05 2.31284e-05 1.82981e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.39036e-26 4.39036e-26 
3.98107e+01 3.49854e+03 2.38799e-05 1.90047e-05 1.78828e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.65592e-26 4.65592e-26 
4.46684e+01 3.78535e+03 2.65776e-05 1.55930e-05 1.75382e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.93433e-26 4.93433e-26 
5.01187e+01 4.09602e+03 2.95727e-05 1.27820e-05 1.72530e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 5.22410e-26 5.22410e-26 
5.62341e+01 4.43195e+03 3.28963e-05 1.04740e-05 1.70173e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 5.52354e-26 5.52354e-26 
6.30957e+01 4.79473e+03 3.65829e-05 8.58448e-06 1.68226e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 5.83081e-26 5.83081e-26 
7.07946e+01 5.18617e+03 4.06706e-05 7.04112e-06 1.66613e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 6.14403e-26 6.14403e-26 
7.94328e+01 5.60844e+03 4.52018e-05 5.78248e-06 1.65272e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 6.46131e-26 6.46131e-26 
8.91251e+01 6.06404e+03 5.02237e-05 4.75701e-06 1.64149e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 6.78087e-26 6.78087e-26 
1.00000e+02 6.55592e+03 5.57890e-05 3.92181e-06 1.63199e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 7.10105e-26 7.10105e-26 
1.12202e+02 7.08751e+03 6.19567e-05 3.24142e-06 1.62382e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 7.42038e-26 7.42038e-26 
1.25893e+02 7.66280e+03 6.87928e-05 2.68670e-06 1.61666e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 7.73762e-26 7.73762e-26 
1.41254e+02 8.28637e+03 7.63715e-05 2.23387e-06 1.61024e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 8.05176e-26 8.05176e-26 
1.58489e+02 8.96350e+03 8.47759e-05 1.86356e-06 1.60431e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 8.36205e-26 8.36205e-26 
1.77828e+02 9.70022e+03 9.40995e-05 1.56008e-06 1.59867e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 8.66802e-26 8.66802e-26 
1.99526e+02 1.05034e+04 1.04448e-04 1.31073e-06 1.59312e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 8.96944e-26 8.96944e-26 
2.23872e+02 1.13808e+04 1.15938e-04 1.10527e-06 1.58751e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 9.26636e-26 9.26636e-26 
2.51189e+02 1.23413e+04 1.28705e-04 9.35437e-07 1.58167e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 9.55906e-26 9.55906e-26 
2.81838e+02 1.33950e+04 1.42897e-04 7.94586e-07 1.57546e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 9.84810e-26 9.84810e-26 
3.16228e+02 1.45534e+04 1.58684e-04 6.77355e-07 1.56872e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.01343e-25 1.01343e-25 
3.54813e+02 1.58296e+04 1.76257e-04 5.79423e-07 1.56131e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.04186e-25 1.04186e-25 
3.98107e+02 1.72384e+04 1.95831e-04 4.97307e-07 1.55308e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.07024e-25 1.07024e-25 
4.46684e+02 1.87970e+04 2.17650e-04 4.28190e-07 1.54388e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.09872e-25 1.09872e-25 
5.01187e+02 2.05249e+04 2.41990e-04 3.69795e-07 1.53355e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.12749e-25 1.12749e-25 
5.62341e+02 2.24447e+04 2.69163e-04 3.20275e-07 1.52194e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.15674e-25 1.15674e-25 
6.30957e+02 2.45826e+04 2.99524e-04 2.78128e-07 1.50888e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.18673e-25 1.18673e-25 
7.07946e+02 2.69686e+04 3.33477e-04 2.42128e-07 1.49420e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.21773e-25 1.21773e-25 
7.94328e+02 2.96379e+04 3.71482e-04 2.11274e-07 1.47775e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.25005e-25 1.25005e-25 
8.91251e+02 3.26315e+04 4.14061e-04 1.84745e-07 1.45937e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.28405e-25 1.28405e-25 
1.00000e+03 3.59974e+04 4.61813e-04 1.61864e-07 1.43889e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.32013e-25 1.32013e-25 
1.12202e+03 3.97919e+04 5.15424e-04 1.42071e-07 1.41620e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.35876e-25 1.35876e-25 
1.25893e+03 4.40818e+04 5.75677e-04 1.24903e-07 1.39117e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.40045e-25 1.40045e-25 
1.41254e+03 4.89459e+04 6.43474e-04 1.09973e-07 1.36371e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.44580e-25 1.44580e-25 
1.58489e+03 5.44784e+04 7.19852e-04 9.69592e-08 1.33378e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.49551e-25 1.49551e-25 
1.77828e+03 6.07916e+04 8.06008e-04 8.55904e-08 1.30135e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.55034e-25 1.55034e-25 
1.99526e+03 6.80208e+04 9.03324e-04 7.56383e-08 1.26646e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.61121e-25 1.61121e-25 
2.23872e+03 7.63293e+04 1.01340e-03 6.69101e-08 1.22919e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.67917e-25 1.67917e-25 
2.51189e+03 8.59155e+04 1.13810e-03 5.92420e-08 1.18966e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.75545e-25 1.75545e-25 
2.81838e+03 9.70218e+04 1.27957e-03 5.24946e-08 1.14806e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.84146e-25 1.84146e-25 
3.16228e+03 1.09945e+05 1.44034e-03 4.65488e-08 1.10463e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.93889e-25 1.93889e-25 
3.54813e+03 1.25052e+05 1.62334e-03 4.13024e-08 1.05962e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.04972e-25 2.04972e-25 
3.98107e+03 1.42796e+05 1.83200e-03 3.66674e-08 1.01336e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.17629e-25 2.17629e-25 
4.46684e+03 1.63736e+05 2.07029e-03 3.25682e-08 9.66177e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.32140e-25 2.32140e-25 
5.01187e+03 1.88564e+05 2.34283e-03 2.89390e-08 9.18420e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.48832e-25 2.48832e-25 
5.62341e+03 2.18123e+05 2.65490e-03 2.57230e-08 8.70436e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.68097e-25 2.68097e-25 
6.30957e+03 2.53416e+05 3.01244e-03 2.28705e-08 8.22556e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.90388e-25 2.90388e-25 
7.07946e+03 2.95601e+05 3.42193e-03 2.03385e-08 7.75077e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.16228e-25 3.16228e-25 
7.94328e+03 3.45928e+05 3.89018e-03 1.80891e-08 7.28252e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.46202e-25 3.46202e-25 
8.91251e+03 4.05649e+05 4.42399e-03 1.60892e-08 6.82284e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.80951e-25 3.80951e-25 
1.00000e+04 4.75909e+05 5.03000e-03 1.43101e-08 6.37335e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.21168e-25 4.21168e-25 
1.12202e+04 5.57698e+05 5.71475e-03 1.27264e-08 5.93550e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.67618e-25 4.67618e-25 
1.25893e+04 6.51903e+05 6.48513e-03 1.13162e-08 5.51077e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 5.21178e-25 5.21178e-25 
1.41254e+04 7.59452e+05 7.34897e-03 1.00602e-08 5.10076e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 5.82899e-25 5.82899e-25 
1.58489e+04 8.81465e+05 8.31551e-03 8.94152e-09 4.70712e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 6.54067e-25 6.54067e-25 
1.77828e+04 1.01937e+06 9.39566e-03 7.94505e-09 4.33139e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 7.36258e-25 7.36258e-25 
1.99526e+04 1.17497e+06 1.06021e-02 7.05749e-09 3.97487e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 8.31400e-25 8.31400e-25 
2.23872e+04 1.35049e+06 1.19494e-02 6.26698e-09 3.63852e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 9.41839e-25 9.41839e-25 
2.51189e+04 1.54864e+06 1.34539e-02 5.56292e-09 3.32290e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.07042e-24 1.07042e-24 
2.81838e+04 1.77263e+06 1.51341e-02 4.93588e-09 3.02823e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.22060e-24 1.22060e-24 
3.16228e+04 2.02627e+06 1.70102e-02 4.37745e-09 2.75439e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.39657e-24 1.39657e-24 
3.54813e+04 2.31406e+06 1.91049e-02 3.88012e-09 2.50098e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.60340e-24 1.60340e-24 
3.98107e+04 2.64128e+06 2.14430e-02 3.43722e-09 2.26738e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.84728e-24 1.84728e-24 
4.46684e+04 3.01413e+06 2.40519e-02 3.04282e-09 2.05278e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.13574e-24 2.13574e-24 
5.01187e+04 3.43995e+06 2.69613e-02 2.69160e-09 1.85624e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.47790e-24 2.47790e-24 
5.62341e+04 3.92736e+06 3.02033e-02 2.37888e-09 1.67675e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.88493e-24 2.88493e-24 
6.30957e+04 4.48658e+06 3.38127e-02 2.10047e-09 1.51323e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.37037e-24 3.37037e-24 
7.07946e+04 5.12972e+06 3.78267e-02 1.85263e-09 1.36460e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.95075e-24 3.95075e-24 
7.94328e+04 5.87119e+06 4.22845e-02 1.63205e-09 1.22976e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.64613e-24 4.64613e-24 
8.91251e+04 6.72823e+06 4.72270e-02 1.43580e-09 1.10766e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 5.48090e-24 5.48090e-24 
1.00000e+05 7.72154e+06 5.26967e-02 1.26125e-09 9.97260e-06 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 6.48466e-24 6.48466e-24 
1.12202e+05 8.87607e+06 5.87364e-02 1.10608e-09 8.97580e-06 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 7.69327e-24 7.69327e-24 
