         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
5.62341e+00 6.19287e+03 1.52392e-06 5.27238e-03 5.43401e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.37151e-26 7.37166e-26 
6.30957e+00 5.63232e+03 2.09350e-06 4.51932e-03 4.68069e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.43419e-26 7.43410e-26 
7.07946e+00 5.17507e+03 2.78396e-06 3.88259e-03 4.04375e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.49728e-26 7.49720e-26 
7.94328e+00 4.81548e+03 3.58319e-06 3.34494e-03 3.50592e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.56004e-26 7.55998e-26 
8.91251e+00 4.54201e+03 4.47643e-06 2.89002e-03 3.05085e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.62205e-26 7.62210e-26 
1.00000e+01 4.34007e+03 5.45264e-06 2.50365e-03 2.66434e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.68315e-26 7.68310e-26 
1.12202e+01 4.19733e+03 6.50560e-06 2.17373e-03 2.33430e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.74351e-26 7.74355e-26 
1.25893e+01 4.10364e+03 7.63453e-06 1.89085e-03 2.05131e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.80330e-26 7.80334e-26 
1.41254e+01 4.05126e+03 8.84330e-06 1.64724e-03 1.80760e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.86286e-26 7.86283e-26 
1.58489e+01 4.03435e+03 1.01394e-05 1.43658e-03 1.59686e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.92264e-26 7.92267e-26 
